Name,Abbrev,Status,Year,City,Country,Mass(kg),Lat_n,Long_n
Tanezrouft 030,Tnz 030,Official,1991,Adrar, Algeria,0.146,25.1333,0.38333
Tanezrouft 031,Tnz 031,Official,1991,Adrar, Algeria,0.028,25.15,0.28333
Tanezrouft 032,Tnz 032,Official,1991,Adrar, Algeria,3.15,25.3667,-0.01667
Tanezrouft 033,Tnz 033,Official,1991,Adrar, Algeria,0.12,25.3833,-0.03333
Tanezrouft 034,Tnz 034,Official,1991,Adrar, Algeria,4.72,25.4333,-0.08333
Tanezrouft 035,Tnz 035,Official,1991,Adrar, Algeria,0.106,25.4833,0.21667
Tanezrouft 036,Tnz 036,Official,1991,Adrar, Algeria,0.338,25.4833,0.65
Tanezrouft 037,Tnz 037,Official,1992,Adrar, Algeria,0.114,25.6,0.4
Tanezrouft 038,Tnz 038,Official,1992,Adrar, Algeria,0.041,25.45,0.08333
Tanezrouft 039,Tnz 039,Official,1992,Adrar, Algeria,0.148,25.45,0.06667
Tanezrouft 040,Tnz 040,Official,1992,Adrar, Algeria,0.046,25.45,0.06667
Tanezrouft 041,Tnz 041,Official,1992,Adrar, Algeria,0.123,25.4667,0.06667
Tanezrouft 042,Tnz 042,Official,1992,Adrar, Algeria,0.8,25.4667,0.05
Tanezrouft 043,Tnz 043,Official,1992,Adrar, Algeria,0.284,25.45,-0.13333
Tanezrouft 044,Tnz 044,Official,1992,Adrar, Algeria,0.079,25.5333,0.08333
Tanezrouft 045,Tnz 045,Official,1992,Adrar, Algeria,0.472,25.5333,0.13333
Tanezrouft 046,Tnz 046,Official,1992,Adrar, Algeria,0.35,25.5167,0.31667
Tanezrouft 047,Tnz 047,Official,1992,Adrar, Algeria,0.17,25.45,0.4
Tanezrouft 048,Tnz 048,Official,1992,Adrar, Algeria,1.342,25.3833,0.6
Tanezrouft 049,Tnz 049,Official,1992,Adrar, Algeria,0.056,25.2833,-0.2
Tanezrouft 050,Tnz 050,Official,1992,Adrar, Algeria,0.094,25.1333,0.03333
Tanezrouft 051,Tnz 051,Official,1992,Adrar, Algeria,0.059,25.1333,0.03333
Tanezrouft 052,Tnz 052,Official,1992,Adrar, Algeria,0.737,25.25,-0.18333
Tanezrouft 053,Tnz 053,Official,1992,Adrar, Algeria,0.084,25.2167,0.3
Tanezrouft 054,Tnz 054,Official,2002,Adrar, Algeria,0.576,25.4333,0.4
Tanezrouft 055,Tnz 055,Official,2002,Adrar, Algeria,0.251,25.4,0.41667
Tanezrouft 056,Tnz 056,Official,2002,Adrar, Algeria,0.1511,25.4833,0.15
Tanezrouft 057,Tnz 057,Official,2002,Adrar, Algeria,5.4,25.2667,0.15
Tanezrouft 058,Tnz 058,Official,2002,Adrar, Algeria,2.35,25.3333,0.55
Tanezrouft 059,Tnz 059,Official,2002,Adrar, Algeria,0.1564,25.2167,0.21667
Tanezrouft 060,Tnz 060,Official,2002,Adrar, Algeria,3.65,25.2833,0.2
Tanezrouft 061,Tnz 061,Official,2002,Adrar, Algeria,0.065,25.3,0.2
Tanezrouft 062,Tnz 062,Official,2002,Adrar, Algeria,0.974,25.4167,0.08333
Tanezrouft 063,Tnz 063,Official,2002,Adrar, Algeria,1.135,25.1833,0.23333
Tanezrouft 064,Tnz 064,Provisional,2002,Adrar, Algeria,0.224,25.55,0.46667
Tanezrouft 065,Tnz 065,Official,2002,Adrar, Algeria,30,25.4,0.13333
Tanezrouft 066,Tnz 066,Official,2002,Adrar, Algeria,1.6,25.1833,0.78333
Tanezrouft 067,Tnz 067,Official,2002,Adrar, Algeria,0.05,25.5333,0.41667
Tanezrouft 068,Tnz 068,Official,2002,Adrar, Algeria,0.236,25.25,0.1
Tanezrouft 069,Tnz 069,Official,2002,Adrar, Algeria,0.18,25.2833,0.1
Tanezrouft 070,Tnz 070,Official,2002,Adrar, Algeria,0.24,25.5833,0.4
Tanezrouft 071,Tnz 071,Official,2002,Adrar, Algeria,0.107,25.2667,0.1
Tanezrouft 072,Tnz 072,Official,2002,Adrar, Algeria,62.29,24.4333,0.1
Tanezrouft 073,Tnz 073,Official,2002,Adrar, Algeria,0.13,24.4167,0.11667
Tanezrouft 074,Tnz 074,Official,2002,Adrar, Algeria,0.496,24.2167,0.46667
Tanezrouft 075,Tnz 075,Official,2002,Adrar, Algeria,0.616,24.0667,-1.35
Tanezrouft 076,Tnz 076,Official,2003,Adrar, Algeria,3.55,24.6167,-0.55
Tanezrouft 077,Tnz 077,Official,2003,Adrar, Algeria,0.217,24.6167,-0.53333
Tanezrouft 078,Tnz 078,Official,2003,Adrar, Algeria,1.599,24.7333,-0.51667
Tanezrouft 079,Tnz 079,Official,2003,Adrar, Algeria,1.031,24.5667,-0.51667
Tanezrouft 080,Tnz 080,Official,2003,Adrar, Algeria,1.056,24.65,-0.56667
Tanezrouft 081,Tnz 081,Official,2003,Adrar, Algeria,0.213,25.2333,0.18333
Tanezrouft 082,Tnz 082,Official,2003,Adrar, Algeria,1.012,24.8167,-0.43333
Tanezrouft 083,Tnz 083,Official,2003,Adrar, Algeria,0.265,24.6333,-0.5
Tanezrouft 084,Tnz 084,Official,2003,Adrar, Algeria,0.369,24.75,-0.43333
Tanezrouft 085,Tnz 085,Official,2003,Adrar, Algeria,0.0904,25.2,0.03333
Tanezrouft 086,Tnz 086,Official,2003,Adrar, Algeria,0.136,25.2833,0.05
Tanezrouft 087,Tnz 087,Official,2003,Adrar, Algeria,0.32,25.75,0.26667
Tanezrouft 088,TnZ 088,Official,2002,Adrar, Algeria,0.66,25.3667,1.08333
Tanezrouft 089,TnZ 089,Official,2002,Adrar, Algeria,0.581,25.2333,0.15
Tank Mountains,,Official,2010,Arizona, USA,8.05,33.0833,-113.617
Taoudenni,,Official,2007,Gao, Mali,24.37,22.7833,-3.96667
Taouz 001,,Official,1991,Mekns-Tafilalet, Morocco,2.43,30.9,-4.23333
Taouz 002,,Official,1999,Mekns-Tafilalet, Morocco,8.35,30.9,-3.96667
Tarahumara,,Official,1994,Chihuahua, Mexico,2.5,28.5,-106.25
Tartak,,Official,2012,Suwalki, Poland,7.6,54.0833,23.0833
Tass¹Èdet 001,,Official,2001,Agadez, Niger,0.56,18.0667,6.66667
Tass¹Èdet 002,,Official,2001,Agadez, Niger,0.0094,18.2333,6.51667
Tass¹Èdet 003,,Official,2001,Agadez, Niger,0.0125,18.3,6.5
Tavn-Gashun,,Official,1991,Kalmykiya-Khal'mg Tangch, Russia,4.24,45.9833,46.4
Taylor Glacier 82700,TYR 82700,Official,1982,Antarctica,,0.892,77.7333,162.167
Tazizilet,,Official,2006,Agadez, Niger,0.996,17.6333,9.43333
Tazzarine,,Official,1998,Souss-Massa, Morocco,0.0937,30.5833,-5.38333
Techado,,Official,1983,New Mexico, USA,0.81,34.5333,-108.35
Temple Bar,,Official,1998,Arizona, USA,0.106,35.9167,-114.433
Tentacle Ridge 00001,TEN 00001,Official,2000,Antarctica,,0.0111,80.25,153.5
Tentacle Ridge 00002,TEN 00002,Official,2000,Antarctica,,0.0198,80.25,153.5
Tequisquiapan,,Official,2012,Queretaro de Arteaga, Mexico,2.32,20.5,-99.9667
Tessera,,Official,2000,Veneto, Italy,0.0513,45.5,12.3
Thackaringa,,Official,1974,New South Wales, Australia,0.439,32.1167,141.083
Thamaniyat Ajras,,Official,2016,Al Wadi al Jadid, Egypt,0.866,22.5,26.5667
Thiel Mountains 82400,TIL 82400,Official,1982,Antarctica,,0.221,85.1833,-94.15
Thiel Mountains 82401,TIL 82401,Official,1982,Antarctica,,0.282,85.15,-94.65
Thiel Mountains 82402,TIL 82402,Official,1982,Antarctica,,0.476,85.15,-94.6167
Thiel Mountains 82403,TIL 82403,Official,1982,Antarctica,,0.0498,85.15,-94.6167
Thiel Mountains 82404,TIL 82404,Official,1982,Antarctica,,0.322,85.15,-94.6333
Thiel Mountains 82405,TIL 82405,Official,1982,Antarctica,,1.116,85.25,-91
Thiel Mountains 82406,TIL 82406,Official,1982,Antarctica,,0.152,85.15,-94.6167
Thiel Mountains 82407,TIL 82407,Official,1982,Antarctica,,0.221,85.15,-94.6167
Thiel Mountains 82408,TIL 82408,Official,1982,Antarctica,,0.0801,85.15,-94.6167
Thiel Mountains 82409,TIL 82409,Official,1982,Antarctica,,0.231,85.15,-94.6167
Thiel Mountains 82410,TIL 82410,Official,1982,Antarctica,,0.0188,85.25,-91
Thiel Mountains 82411,TIL 82411,Official,1982,Antarctica,,0.1795,85.15,-94.6
Thiel Mountains 82412,TIL 82412,Official,1982,Antarctica,,0.0352,85.15,-94.5833
Thiel Mountains 82413,TIL 82413,Official,1982,Antarctica,,0.0184,85.25,-91
Thiel Mountains 82414,TIL 82414,Official,1982,Antarctica,,0.0154,85.25,-91
Thiel Mountains 82415,TIL 82415,Official,1982,Antarctica,,0.0702,85.25,-91
Thiel Mountains 91700,TIL 91700,Official,1991,Antarctica,,0.256,85.15,-94.5833
Thiel Mountains 91701,TIL 91701,Official,1991,Antarctica,,1.086,85.15,-94.5667
Thiel Mountains 91702,TIL 91702,Official,1991,Antarctica,,0.305,85.15,-94.5667
Thiel Mountains 91703,TIL 91703,Official,1991,Antarctica,,0.265,85.15,-94.5667
Thiel Mountains 91704,TIL 91704,Official,1991,Antarctica,,0.235,85.15,-94.5667
Thiel Mountains 91705,TIL 91705,Official,1991,Antarctica,,0.1585,85.15,-94.5667
Thiel Mountains 91706,TIL 91706,Official,1991,Antarctica,,0.0825,85.15,-94.55
Thiel Mountains 91707,TIL 91707,Official,1991,Antarctica,,0.207,85.15,-94.55
Thiel Mountains 91708,TIL 91708,Official,1991,Antarctica,,0.31,85.15,-94.5333
Thiel Mountains 91709,TIL 91709,Official,1991,Antarctica,,0.66,85.15,-94.55
Thiel Mountains 91710,TIL 91710,Official,1991,Antarctica,,0.515,85.15,-94.55
Thiel Mountains 91711,TIL 91711,Official,1991,Antarctica,,0.276,85.15,-94.5667
Thiel Mountains 91712,TIL 91712,Official,1991,Antarctica,,0.492,85.15,-94.5667
Thiel Mountains 91713,TIL 91713,Official,1991,Antarctica,,0.0638,85.15,-94.55
Thiel Mountains 91714,TIL 91714,Official,1991,Antarctica,,0.1639,85.15,-94.5667
Thiel Mountains 91715,TIL 91715,Official,1991,Antarctica,,0.1568,85.15,-94.5667
Thiel Mountains 91717,TIL 91717,Official,1991,Antarctica,,0.0165,85.15,-94.5667
Thiel Mountains 91718,TIL 91718,Official,1991,Antarctica,,0.1655,85.15,-94.5833
Thiel Mountains 91719,TIL 91719,Official,1991,Antarctica,,0.0157,85.15,-94.5833
Thiel Mountains 91720,TIL 91720,Official,1991,Antarctica,,0.1272,85.15,-94.5833
Thiel Mountains 91721,TIL 91721,Official,1991,Antarctica,,0.234,85.15,-94.6
Thiel Mountains 91722,TIL 91722,Official,1991,Antarctica,,0.0474,85.15,-94.6
Thiel Mountains 91723,TIL 91723,Official,1991,Antarctica,,0.265,85.15,-94.6167
Thiel Mountains 91724,TIL 91724,Official,1991,Antarctica,,0.254,85.15,-94.8333
Thiel Mountains 91725,TIL 91725,Official,1991,Antarctica,,0.0911,85.15,-94.8333
Thiel Mountains 99001,TIL 99001,Official,2000,Antarctica,,0.288,85.15,-94.5667
Thiel Mountains 99002,TIL 99002,Official,2000,Antarctica,,0.0443,85.15,-94.5667
Thiel Mountains 99003,TIL 99003,Official,2000,Antarctica,,0.1138,85.15,-94.5833
Thiel Mountains 99004,TIL 99004,Official,2000,Antarctica,,0.313,85.15,-94.5833
Thiel Mountains 99005,TIL 99005,Official,2000,Antarctica,,0.0477,85.15,-94.5833
Thiel Mountains 99006,TIL 99006,Official,2000,Antarctica,,0.031,85.15,-94.5667
Thiel Mountains 99007,TIL 99007,Official,2000,Antarctica,,0.0519,85.15,-94.6
Thiel Mountains 99008,TIL 99008,Official,2000,Antarctica,,0.1475,85.15,-94.5833
Thiel Mountains 99009,TIL 99009,Official,2000,Antarctica,,0.303,85.15,-94.5333
Thiel Mountains 99010,TIL 99010,Official,2000,Antarctica,,0.1168,85.15,-94.7833
Thiel Mountains 99011,TIL 99011,Official,2000,Antarctica,,0.473,85.15,-94.6167
Thiel Mountains 99012,TIL 99012,Official,2000,Antarctica,,0.159,85.15,-94.5833
Thiel Mountains 99013,TIL 99013,Official,2000,Antarctica,,0.249,85.15,-94.7167
Thiel Mountains 99014,TIL 99014,Official,2000,Antarctica,,0.371,85.1667,-94.7167
Thiel Mountains 99015,TIL 99015,Official,2000,Antarctica,,0.0786,85.15,-94.7333
Thiel Mountains 99016,TIL 99016,Official,2000,Antarctica,,0.043,85.15,-94.7667
Thiel Mountains 99017,TIL 99017,Official,2000,Antarctica,,1.528,85.15,-94.85
Thiel Mountains 99018,TIL 99018,Official,2000,Antarctica,,0.437,85.15,-94.8333
Thiel Mountains 99019,TIL 99019,Official,2000,Antarctica,,0.136,85.15,-94.7833
Thiel Mountains 06001,TIL 06001,Official,2007,Antarctica,,0.193,85.1667,-94.75
Thiel Mountains 06002,TIL 06002,Official,2007,Antarctica,,0.224,85.15,-94.7167
Thiel Mountains 06003,TIL 06003,Official,2007,Antarctica,,0.266,85.15,-94.5333
Thiel Mountains 06004,TIL 06004,Official,2007,Antarctica,,0.28,85.15,-94.5333
Thiel Mountains 06005,TIL 06005,Official,2007,Antarctica,,0.432,85.15,-94.55
Thiel Mountains 07001,TIL 07001,Official,2007,Antarctica,,1.865,85.2333,-90.4333
Thiel Mountains 07002,TIL 07002,Official,2007,Antarctica,,0.222,85.15,-94.6
Thiel Mountains 07003,TIL 07003,Official,2007,Antarctica,,0.018,85.15,-94.6
Thiel Mountains 07004,TIL 07004,Official,2007,Antarctica,,0.032,85.15,-94.5833
Thiel Mountains 07005,TIL 07005,Official,2007,Antarctica,,0.152,85.15,-94.7833
Thiel Mountains 07006,TIL 07006,Official,2007,Antarctica,,0.37,85.1667,-94.6667
Thiel Mountains 07007,TIL 07007,Official,2007,Antarctica,,0.018,85.15,-94.6
Thiel Mountains 07008,TIL 07008,Official,2007,Antarctica, Antarctica,0.0007,85.15,-94.6
Thiel Mountains 07009,TIL 07009,Official,2007,Antarctica, Antarctica,0.109,85.15,-94.55
Thiel Mountains 07010,TIL 07010,Official,2007,Antarctica,,0.119,85.15,-94.7167
Thiel Mountains 07011,TIL 07011,Official,2007,Antarctica,,0.019,85.1667,-94.7667
Thiel Mountains 07012,TIL 07012,Official,2007,Antarctica,,0.03,85.15,-94.7167
Thiel Mountains 07013,TIL 07013,Official,2007,Antarctica,,0.396,85.15,-94.6833
Thiel Mountains 07014,TIL 07014,Official,2007,Antarctica,,3.67,85.35,-87.1667
Thiel Mountains 07015,TIL 07015,Official,2008,Antarctica,,0.096,85.3333,-87.2167
Thiel Mountains 07016,TIL 07016,Official,2007,Antarctica,,3.49,85.3333,-87.9333
Thiel Mountains 08001,TIL 08001,Official,2008,Antarctica,,0.044,85.2333,-90.35
Thiel Mountains 08002,TIL 08002,Official,2008,Antarctica,,0.044,85.2333,-90.3167
Thiel Mountains 08003,TIL 08003,Official,2008,Antarctica,,0.065,85.2333,-90.3333
Thiel Mountains 08004,TIL 08004,Official,2008,Antarctica, Antarctica,5.01,85.3833,-87.1167
Thiel Mountains 08005,TIL 08005,Official,2008,Antarctica,,0.511,85.3833,-87.1
Thiel Mountains 08006,TIL 08006,Official,2008,Antarctica,,0.112,85.15,-94.7333
Thiel Mountains 08007,TIL 08007,Official,2008,Antarctica, Antarctica,0.047,85.15,-94.65
Thiel Mountains 08008,TIL 08008,Official,2008,Antarctica,,0.034,85.1667,-94.7333
Thika,,Official,2011,Central, Kenya,14.2,1,37.15
Three Little Hills,,Official,1980s,New Mexico, USA,0.016,32.0667,-107.5
Thuathe,,Official,2002,Berea, Lesotho,45.3,29.3333,27.5833
Thumb Butte,,Official,2008,Arizona, USA,0.105,35.1667,-114.45
Thumrayt 001,,Official,2006,Zufar, Oman,2.48,17.5833,54.35
Thumrayt 002,,Official,2007,Zufar, Oman,3.07,17.9667,54.05
Thylacine Hole 001,,Official,1977,Western Australia, Australia,0.1015,31.5833,127.6
Thylacine Hole 002,,Official,1978,Western Australia, Australia,0.0038,31.5667,127.8
Tianzhang,,Official,1986,Anhui, China,2.23,32.9333,118.983
Tibooburra,,Official,1970,New South Wales, Australia,0.0186,29.4333,142.017
Tichit 001,,Official,2014,Tagant, Mauritania,68,18.4333,-10.3333
Tichiya,,Official,2016,Rio de Oro, Western Sahara,9.35,24.2333,-13.3
Tieret 001,,Official,2009,Tatawin, Tunisia,0.602,30.7333,10.2
Tieret 002,,Official,2009,Tatawin, Tunisia,0.0235,30.7833,10.2333
Tieret 003,,Official,2009,Tatawin, Tunisia,0.0171,30.8167,10.25
Tieret 004,,Official,2009,Tatawin, Tunisia,0.0106,30.9667,10.0333
Tieret 005,,Official,2009,Tatawin, Tunisia,0.0183,30.9667,10.0333
Tieret 006,,Official,2009,Tatawin, Tunisia,0.0207,30.9667,10.05
Tieret 007,,Official,2009,Tatawin, Tunisia,0.011,30.9667,10.0833
Tieret 008,,Official,2010,Tatawin, Tunisia,0.028,30.9333,10.05
Tieret 009,,Official,2010,Tatawin, Tunisia,0.009,30.9333,10.0667
Tieret 010,,Official,2010,Tatawin, Tunisia,5.15,30.9667,10
Tieret 011,,Official,2010,Tatawin, Tunisia,0.0134,30.9333,10.0667
Tieret 012,,Official,2010,Tatawin, Tunisia,0.00041,30.9333,10.0667
Tieret 013,,Official,2010,Tatawin, Tunisia,0.0037,30.9167,10.05
Tifariti,,Official,2002,Saguia el Hamra, Western Sahara,0.0054,26.5,-10.5
Tiffa 001,,Official,1997,Agadez, Niger,26.9,19.9333,11.9167
Tiffa 002,,Official,1997,Agadez, Niger,4.71,19.6833,11.5167
Tiffa 003,,Official,1997,Agadez, Niger,0.329,20,11.85
Tiffa 004,,Official,1997,Agadez, Niger,1.362,19.95,11.8667
Tiffa 005,,Official,1997,Agadez, Niger,0.327,19.9167,11.8667
Tiffa 006,,Official,1997,Agadez, Niger,0.56,19.9,11.8667
Tiffa 007,,Official,2001,Agadez, Niger,9.25,20.2,11.5833
Tiffa 008,,Official,2001,Agadez, Niger,1.149,20.35,11.85
Tillaberi,,Official,1970,Niamey, Niger,3,14.25,1.53333
Tilomonte 001,,Official,2013,Antofagasta, Chile,1.189,23.9333,-68.2667
Timber Creek,,Official,1982,Texas, USA,0.007,34.9833,-101.733
Timber Lake,,Official,2011,South Dakota, USA,8.66,45.4167,-101.083
Timbuktu,,Official,2015,Gao, Mali,5.5,16.7833,-3
Timessa 001,,Official,1990,Murzuq, Libya,0.473,26.5667,15.7333
Timna,,Official,2002,Hadarom, Israel,0.04,29.75,34.9167
Tin as Sawwan,,Official,2011,Quibili, Tunisia,1.684,32.75,9.1
Tinajdad,,Official,2014,Centre-South, Morocco,1.86,31.6,-5.18333
Tindouf,,Official,1997,Tindouf, Algeria,1.55,27.75,-8.13333
Tindouf 002,,Official,2014,Tindouf, Algeria,0.0782,27.3,-7.55
Tindouf 004,,Official,2013,Tindouf, Algeria,0.486,27.45,-7.71667
Tindouf 005,,Official,2013,Tindouf, Algeria,0.136,27.35,-7.75
Tinnie,,Official,1978,New Mexico, USA,15.3,33.3833,-105.25
Tirhert,,Official,2014,Guelmim-Es-Semara, Morocco,8,28.9333,-8.9
Tisserdmine 001,,Official,2017,Centre-South, Morocco,0.932,31.1667,-3.96667
Tisserdmine 002,,Official,2017,Centre-South, Morocco,0.887,31.15,-3.91667
Tissint,,Official,2011,Guelmim-Es-Semara, Morocco,7,29.4667,-7.6
Tokio (a),,Official,1974,Texas, USA,6.6,33.2167,-102.617
Tokio (b),,Official,1974,Texas, USA,0.823,33.2,-102.65
Tomiya,,Official,1984,Tohoku, Japan,0.0275,38.3667,140.85
Tongan,,Official,1996,Guangxi, China,500,24.5333,110.983
Tookabarnoo,,Official,1992,Queensland, Australia,0.157,27.8667,141.733
Torino,,Official,1988,Piemonte, Italy,0.977,45.0667,7.66667
Torreon de Mata,,Official,1983,Chihuahua, Mexico,0.61,26.8333,-105.417
Touat 001,,Official,2002,Adrar, Algeria,2.65,27.6333,-0.51667
Touat 002,,Official,2002,Adrar, Algeria,5.15,27.4667,-0.51667
Touat 003,,Official,2006,Adrar, Algeria,3.58,27.35,-0.11667
Toufassour,,Official,2007,Guelmim-Es-Semara, Morocco,73.3,29.65,-7.73333
Towada,,Official,1997,Tohoku, Japan,0.0535,40.55,141.233
Trape?ng R?no?s,,Official,2010,Kampong Spoe, Cambodia,13,11.3333,104.683
Trebbin,,Official,1988,Brandenburg, Germany,1.25,52.2167,13.1667
Tres Castillos,,Official,1992,Chihuahua, Mexico,150,29.4667,-105.8
Tres Irmaos,,Official,2017,Bahia, Brazil,0.89,14.1167,-43.05
Trilby Wash,,Official,2005,Arizona, USA,0.846,33.9167,-112.55
Truckton,,Official,1978,Colorado, USA,0.0434,38.5667,-104.067
Tsukuba,,Official,1996,Kanto, Japan,0.8,36.05,140.133
Tuanjie 001,,Official,2013,Qinghai, China,11,38.0333,94.45
Tuanjie 002,,Official,2013,Qinghai, China,5,38.15,94.2667
Tule Draw,,Official,1981,Texas, USA,2.3,34.6667,-102
Tule Valley,,Official,2001,Utah, USA,0.0177,38.9833,-113.367
Tule Valley Hardpan 001,TVH 001,Official,2009,Utah, USA,0.0051,38.9333,-113.367
Tule Valley Hardpan 002,TVH 002,Official,2009,Utah, USA,0.00132,38.9333,-113.367
Tule Valley Hardpan 003,TVH 003,Official,2007,Utah, USA,0.0107,38.9667,-113.367
Tule Valley Hardpan 004,TVH 004,Official,2007,Utah, USA,0.0375,38.95,-113.367
Tule Valley Hardpan 005,TVH 005,Official,2007,Utah, USA,0.0295,38.95,-113.367
Tule Valley Hardpan 006,TVH 006,Official,2007,Utah, USA,0.0026,38.9667,-113.367
Tule Valley Hardpan 007,TVH 007,Official,2014,Utah, USA,0.0032,38.9833,-113.367
Tule Valley Hardpan 008,TVH 008,Official,2014,Utah, USA,0.015,38.9833,-113.367
Tulia (d),,Official,1981,Texas, USA,17.7,34.6,-101.767
Tungsten Mountain 001,TM 001,Official,2000,Nevada, USA,0.0317,39.6333,-117.65
Tungsten Mountain 002,TM 002,Official,2001,Nevada, USA,0.0113,39.6667,-117.6
Tungsten Mountain 003,TM 003,Official,2001,Nevada, USA,0.0078,39.6833,-117.617
Tungsten Mountain 004,TM 004,Official,2001,Nevada, USA,0.0081,39.6833,-117.617
Tungsten Mountain 005,TM 005,Official,2001,Nevada, USA,0.0047,39.6833,-117.617
Tungsten Mountain 006,TM 006,Official,2001,Nevada, USA,0.0088,39.6833,-117.617
Tungsten Mountain 007,TM 007,Official,2001,Nevada, USA,0.044,39.6833,-117.617
Tungsten Mountain 008,TM 008,Official,2001,Nevada, USA,0.007,39.6667,-117.617
Tungsten Mountain 009,TM 009,Official,2001,Nevada, USA,0.031,39.6667,-117.617
Tungsten Mountain 010,TM 010,Official,2001,Nevada, USA,0.0134,39.6833,-117.617
Tungsten Mountain 011,TM 011,Official,2003,Nevada, USA,0.1865,39.6833,-117.617
Tungsten Mountain 113,TM 113,Official,2004,Nevada, USA,0.00448,39.6667,-117.617
Tungsten Mountain 204,TM 204,Official,2005,Nevada, USA,0.0416,39.6667,-117.617
Tungsten Mountain 533,TM 533,Official,2007,Nevada, USA,0.0253,39.6833,-117.617
Tungsten Mountain 535,TM 535,Official,2007,Nevada, USA,0.0261,39.6833,-117.617
Tungsten Mountain 541,TM 541,Official,2007,Nevada, USA,0.0057,39.6833,-117.617
Tungsten Mountain 542,TM 542,Official,2007,Nevada, USA,0.0046,39.6833,-117.617
Tungsten Mountain 543,TM 543,Official,2007,Nevada, USA,0.0181,39.6833,-117.617
Tungsten Mountain 563,TM 563,Official,2007,Nevada, USA,0.0093,39.6667,-117.617
Tungsten Mountain 572,TM 572,Official,2007,Nevada, USA,0.0107,39.6667,-117.6
Tungsten Mountain 573,TM 573,Official,2010,Nevada, USA,0.068,39.6833,-117.617
Tupelo,,Official,2012,Mississippi, USA,0.28,34.2333,-88.7667
Turgut,,Official,1999,Konya, Turkey,152,38.6167,32
Turriff,,Official,1994,Victoria, Australia,0.218,35.4833,142.6
Turtle Lake,,Official,1996,Wisconsin, USA,0.0893,45.3333,-92.05
Tuxtuac,,Official,1975,Zacatecas, Mexico,30,21.6667,-103.367
Tuya,,Official,2013,Xinjiang, China,11.45,40.1333,91.7
Tuya 002,,Official,2013,Xinjiang, China,0.76,40.5,91.7
Tuya 003,,Official,2013,Xinjiang, China,31.72,40.5,91.6833
Tuya 004,,Official,2013,Xinjiang, China,33.58,40.5,91.6667
Tuya 005,,Official,2013,Xinjiang, China,10.35,40.5,91.7
Tuya 006,,Official,2013,Xinjiang, China,5.4,40.5,91.7
Tuya 007,,Official,2013,Xinjiang, China,8.62,40.4833,91.7
Twannberg,,Official,1984,Bern, Switzerland,20.69,47.1167,7.16667
Two Buttes (b),,Official,1970,Colorado, USA,3,37.6333,-102.417
Twodot,,Official,1999,Montana, USA,21.4,46.7,-110.133
Ucera,,Official,1970,Falcon, Venezuela,4.59,11.05,-69.85
Uchkuduk,,Official,1989,Navoi, Uzbekistan,1,41.7667,62.5167
Udall Park,,Official,1985,Arizona, USA,0.15,32.25,-110.833
UdeiÉÖt el Had,,Official,1988,Ajdabiya, Libya,0.658,29.4167,20.5
Ularring,,Official,1970,Western Australia, Australia,0.272,29.9667,120.6
Ulasitai,,Discredited,2004,Xinjiang, China,430,44.95,91.4
Ulyanovsk,,Official,2006,Ul'yanovskaya oblast', Russia,4.68,54.35,48.5833
Umm as Samim 001,UaS 001,Official,2001,Al Wusta, Oman,1.847,21.3167,56.4167
Umm as Samim 002,UaS 002,Official,2001,Al Wusta, Oman,1.048,21.3167,56.4167
Umm as Samim 003,UaS 003,Official,2001,Al Wusta, Oman,0.991,21.3167,56.4167
Umm as Samim 008,UaS 008,Official,2009,Al Wusta, Oman,0.29,21,56.4667
Umm as Samim 009,UaS 009,Official,2009,Al Wusta, Oman,3.99,21.05,56.4667
Umm as Samim 010,UaS 010,Official,2009,Al Wusta, Oman,0.252,21.3333,56.15
Umm as Samim 011,UaS 011,Official,2009,Al Wusta, Oman,0.791,21.3667,56.2833
Umm as Samim 012,UaS 012,Official,2009,Al Wusta, Oman,1.355,21.3667,56.2833
Umm as Samim 013,UaS 013,Official,2009,Al Wusta, Oman,0.206,21.3667,56.3
Umm as Samim 014,UaS 014,Official,2009,Al Wusta, Oman,1.714,21.3667,56.3
Umm as Samim 015,UaS 015,Official,2010,Az Zahirah, Oman,0.396,21.3333,55.45
Umm as Samim 016,UaS 016,Official,2010,Az Zahirah, Oman,0.00386,21.3333,55.45
Umm as Samim 017,UaS 017,Official,2010,Az Zahirah, Oman,0.0613,21.3333,55.45
Umm as Samim 018,UaS 018,Official,2010,Al Wusta, Oman,0.0975,21.2167,55.5167
Umm as Samim 019,UaS 019,Official,2010,Al Wusta, Oman,0.00316,21.2167,55.5167
Umm as Samim 020,UaS 020,Official,2010,Al Wusta, Oman,0.00136,21.2167,55.5167
Umm as Samim 021,UaS 021,Official,2010,Al Wusta, Oman,0.102,21.2333,55.5333
Umm as Samim 022,UaS 022,Official,2010,Al Wusta, Oman,0.0208,21.1333,55.5167
Umm as Samim 023,UaS 023,Official,2010,Al Wusta, Oman,0.1444,21.1333,55.5333
Umm as Samim 024,UaS 024,Official,2010,Al Wusta, Oman,0.407,21.1167,55.5167
Umm as Samim 025,UaS 025,Official,2010,Al Wusta, Oman,0.306,21.1167,55.5167
Umm as Samim 026,UaS 026,Official,2010,Al Wusta, Oman,0.256,21.1167,55.5333
Umm as Samim 027,UaS 027,Official,2010,Al Wusta, Oman,2.91,21.1,55.5333
Umm as Samim 028,UaS 028,Official,2010,Al Wusta, Oman,0.1236,21.1,55.5333
